kB	Ordner
184	/www/htdocs/v122164/mail/.imap/INBOX
188	/www/htdocs/v122164/mail/.imap
192	/www/htdocs/v122164/mail
20	/www/htdocs/v122164/template
16	/www/htdocs/v122164/logs
84	/www/htdocs/v122164/reservierung/barcode_renderer
132	/www/htdocs/v122164/reservierung
12	/www/htdocs/v122164/cgi-bin/sysinfo
16	/www/htdocs/v122164/cgi-bin
1268	/www/htdocs/v122164/bilder
452	/www/htdocs/v122164/_backup_old/forum/includes
164	/www/htdocs/v122164/_backup_old/forum/docs
68	/www/htdocs/v122164/_backup_old/forum/language/lang_german/email
220	/www/htdocs/v122164/_backup_old/forum/language/lang_german
68	/www/htdocs/v122164/_backup_old/forum/language/lang_english/email
208	/www/htdocs/v122164/_backup_old/forum/language/lang_english
68	/www/htdocs/v122164/_backup_old/forum/language/lang_german_formal/email
220	/www/htdocs/v122164/_backup_old/forum/language/lang_german_formal
656	/www/htdocs/v122164/_backup_old/forum/language
12	/www/htdocs/v122164/_backup_old/forum/cache
336	/www/htdocs/v122164/_backup_old/forum/admin
76	/www/htdocs/v122164/_backup_old/forum/db
96	/www/htdocs/v122164/_backup_old/forum/images/smiles
8	/www/htdocs/v122164/_backup_old/forum/images/avatars/gallery
16	/www/htdocs/v122164/_backup_old/forum/images/avatars
124	/www/htdocs/v122164/_backup_old/forum/images
196	/www/htdocs/v122164/_backup_old/forum/templates/subSilver/admin
68	/www/htdocs/v122164/_backup_old/forum/templates/subSilver/images/lang_german
68	/www/htdocs/v122164/_backup_old/forum/templates/subSilver/images/lang_english
68	/www/htdocs/v122164/_backup_old/forum/templates/subSilver/images/lang_german_formal
416	/www/htdocs/v122164/_backup_old/forum/templates/subSilver/images
884	/www/htdocs/v122164/_backup_old/forum/templates/subSilver
892	/www/htdocs/v122164/_backup_old/forum/templates
3096	/www/htdocs/v122164/_backup_old/forum
424	/www/htdocs/v122164/_backup_old/_global/images
8	/www/htdocs/v122164/_backup_old/_global/css
436	/www/htdocs/v122164/_backup_old/_global
28	/www/htdocs/v122164/_backup_old/admin/_global/php
32	/www/htdocs/v122164/_backup_old/admin/_global
52	/www/htdocs/v122164/_backup_old/admin
100	/www/htdocs/v122164/_backup_old/_reservierung
76	/www/htdocs/v122164/_backup_old/infos
3804	/www/htdocs/v122164/_backup_old
76	/www/htdocs/v122164/usage
24	/www/htdocs/v122164/css
5608	/www/htdocs/v122164
80	/var/lib/mysql/v122164
40	/var/lib/mysql/d00324cc
0	/var/spool/mail/m011897f
12	/home/popuser/m011897f/mail/.imap/INBOX
16	/home/popuser/m011897f/mail/.imap
20	/home/popuser/m011897f/mail
32	/home/popuser/m011897f
